epoch,accuracy,loss,val_accuracy,val_loss
0,0.5953333377838135,1.3954261541366577,0.18199999630451202,3.0495235919952393
1,0.9113333225250244,0.30051639676094055,0.20000000298023224,3.364145517349243
2,0.9486666917800903,0.1464889645576477,0.14000000059604645,3.718784809112549
3,0.9653333425521851,0.11565424501895905,0.2280000001192093,2.4986400604248047
4,0.9786666631698608,0.06511935591697693,0.20200000703334808,3.2148406505584717
5,0.984666645526886,0.046220630407333374,0.41999998688697815,1.7618478536605835
6,0.9866666793823242,0.037407711148262024,0.3440000116825104,1.669382929801941
7,0.9860000014305115,0.032804302871227264,0.5,1.5385164022445679
8,0.9919999837875366,0.03197341784834862,0.6159999966621399,1.0377333164215088
9,0.9926666617393494,0.024108178913593292,0.5139999985694885,1.3234679698944092
10,0.9933333396911621,0.02378585748374462,0.6480000019073486,1.0334453582763672
11,0.996666669845581,0.015403776429593563,0.8460000157356262,0.4742210805416107
12,0.9919999837875366,0.024488860741257668,0.7820000052452087,0.6331294775009155
13,0.9913333058357239,0.027196140959858894,0.8880000114440918,0.40251269936561584
14,0.9946666955947876,0.01787492446601391,0.8980000019073486,0.31665170192718506
15,0.9946666955947876,0.02357320673763752,0.8999999761581421,0.32846498489379883
16,0.9926666617393494,0.022064747288823128,0.9139999747276306,0.3001551330089569
17,0.9946666955947876,0.015349854715168476,0.921999990940094,0.2373134195804596
18,0.9926666617393494,0.02038249559700489,0.9259999990463257,0.2437347173690796
19,0.9953333139419556,0.012353907339274883,0.9240000247955322,0.2514403760433197
